Date,Commodity,Variety,Min_Price,Max_Price,Modal_Price,District,Market,Arrival_Quantity,Demand,
3/21/2025,Potato,Local,800,2000,1400,Pune,Pune,86400,0.62,
7/14/2024,Potato,Local,2500,3000,2750,Pune,Pune,87300,0.32,
2/23/2025,Potato,Local,1200,1800,1500,Pune,Pune,90700,0.61,
07-02-2023,Potato,Local,1100,2000,1550,Pune,Pune,95200,0.61,
12/24/2023,Potato,Local,1000,2200,1600,Pune,Pune,97100,0.61,
7/30/2021,Potato,Other,800,1700,1250,Pune,Pune,22600,0.18,
5/21/2021,Potato,Other,700,1500,1100,Pune,Pune,25400,0.23,
07-02-2020,Potato,Other,2200,2400,2300,Pune,Pune,27500,0.12,
08-03-2020,Potato,Other,2000,2500,2300,Pune,Pune,27900,0.12,
6/23/2020,Potato,Other,1700,2200,1900,Pune,Pune,28100,0.15,
4/27/2021,Potato,Other,800,1600,1200,Pune,Pune,29500,0.25,
7/31/2020,Potato,Other,1800,2500,2150,Pune,Pune,31800,0.15,
09-06-2021,Potato,Other,600,1300,950,Pune,Pune,31900,0.34,
10/14/2020,Potato,Other,2400,3000,2700,Pune,Pune,32800,0.12,
07-12-2021,Potato,Other,600,1200,900,Pune,Pune,32900,0.37,
7/30/2020,Potato,Other,2000,2500,2250,Pune,Pune,34900,0.16,
6/30/2020,Potato,Other,1800,2200,2000,Pune,Pune,36400,0.18,
6/18/2021,Potato,Other,600,1500,1050,Pune,Pune,36500,0.35,
07-06-2020,Potato,Other,2000,2400,2200,Pune,Pune,37400,0.17,
11/23/2022,Potato,Other,1200,2000,1600,Pune,Pune,38200,0.24,
6/14/2022,Potato,Other,1400,1900,1650,Pune,Pune,38900,0.24,
02-02-2020,Potato,Other,1000,2000,1500,Pune,Pune,39100,0.26,
11-09-2021,Potato,Other,1800,2400,2100,Pune,Pune,42000,0.2,
11-09-2020,Potato,Other,2800,3500,3150,Pune,Pune,42300,0.13,
5/26/2023,Potato,Other,1000,2100,1550,Pune,Pune,42600,0.27,
09-08-2021,Potato,Other,800,1200,1000,Pune,Pune,42800,0.43,
5/19/2021,Potato,Other,800,1500,1150,Pune,Pune,43500,0.38,
06-01-2022,Potato,Other,1500,1900,1700,Pune,Pune,45600,0.27,
6/24/2022,Potato,Other,1700,2100,1900,Pune,Pune,45800,0.24,
12/25/2020,Potato,Other,1600,3000,2300,Pune,Pune,45900,0.2,
04-08-2021,Potato,Other,800,1600,1200,Pune,Pune,46000,0.38,
02-10-2021,Potato,Other,1000,1500,1250,Pune,Pune,46300,0.37,
01-07-2020,Potato,Other,2000,2600,2200,Pune,Pune,46300,0.21,
5/16/2022,Potato,Other,1500,1900,1700,Pune,Pune,50200,0.3,
05-06-2021,Potato,Other,800,1500,1150,Pune,Pune,51500,0.45,
04-03-2022,Potato,Other,1000,1850,1430,Pune,Pune,52200,0.37,
9/29/2021,Potato,Other,500,1300,900,Pune,Pune,53400,0.59,
10/28/2020,Potato,Other,3000,3600,3300,Pune,Pune,54200,0.16,
